Reef,Date,Grid Square,PTVO,CECR,EPST,CEFU,EPGU,STPA,STDE,TOL,MYTI/MYBO,Other,Unsure,
RIV,03-Aug,295,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,296,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,297,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,298,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,299,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,300,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,301,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,302,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,303,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,304,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,305,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,306,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,307,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,308,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,309,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,310,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,311,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,312,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,313,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,314,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,315,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,316,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,317,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,318,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,319,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,320,0,0,0,0,0,7,0,0,0,0,0,
RIV,03-Aug,321,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,322,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,323,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,324,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,325,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,326,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,327,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,328,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,329,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,330,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,331,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,332,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,333,0,0,0,0,0,6,0,0,0,0,0,
RIV,03-Aug,334,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,335,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,336,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,337,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,338,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,339,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,340,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,341,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,342,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,343,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,344,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,345,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,346,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,347,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,348,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,349,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,350,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,351,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,352,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,353,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,354,0,0,0,0,0,5,0,0,0,0,0,
RIV,03-Aug,355,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,356,0,0,0,0,0,7,0,0,0,0,0,
RIV,03-Aug,357,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,358,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,359,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,360,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,361,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,362,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,363,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,364,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,365,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,366,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,367,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,368,0,0,0,0,0,0,3,0,0,0,0,
RIV,03-Aug,369,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,370,0,0,0,0,0,7,0,0,0,0,0,
RIV,03-Aug,371,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,372,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,373,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,374,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,375,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,376,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,377,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,378,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,379,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,380,0,0,0,0,0,0,0,1,0,0,0,Eggs
RIV,03-Aug,381,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,382,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,383,0,0,0,0,0,6,0,0,0,0,0,
RIV,03-Aug,384,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,385,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,386,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,387,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,388,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,389,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,390,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,391,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,392,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,393,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,394,0,0,0,0,0,0,0,0,0,0,0,
